gtyp_Interface_Dashboard.Subscribe.State_Order.s_state,gtyp_Interface_Dashboard.Publish.PosPanTiltUnit.s_cmd,gtyp_VGR.di_Pos_DSI_Collect_vertical,gtyp_VGR.di_Pos_MPO_vertical,gtyp_VGR.di_Pos_HBW_Discard_vertical,gtyp_VGR.horizontal_Axis.di_Target_Position,gtyp_VGR.horizontal_Axis.di_Actual_Position,gtyp_VGR.horizontal_Axis.Config.di_Pos_Window,gtyp_VGR.horizontal_Axis.x_Start_Positioning,gtyp_VGR.horizontal_Axis.x_Reference,gtyp_VGR.horizontal_Axis.x_Referenced,gtyp_VGR.horizontal_Axis.x_Position_Reached,gtyp_VGR.horizontal_Axis.di_Increment,gtyp_VGR.horizontal_Axis.i_PWM,gtyp_VGR.vertical_Axis.di_Target_Position,gtyp_VGR.vertical_Axis.di_Actual_Position,gtyp_VGR.vertical_Axis.Config.di_Pos_Window,gtyp_VGR.vertical_Axis.x_Start_Positioning,gtyp_VGR.vertical_Axis.x_Reference,gtyp_VGR.vertical_Axis.x_Referenced,gtyp_VGR.vertical_Axis.x_Position_Reached,gtyp_VGR.vertical_Axis.di_Increment,gtyp_VGR.vertical_Axis.i_PWM,gtyp_VGR.rotate_Axis.di_Target_Position,gtyp_VGR.rotate_Axis.di_Actual_Position,gtyp_VGR.rotate_Axis.Config.di_Pos_Window,gtyp_VGR.rotate_Axis.x_Start_Positioning,gtyp_VGR.rotate_Axis.x_Reference,gtyp_VGR.rotate_Axis.x_Referenced,gtyp_VGR.rotate_Axis.x_Position_Reached,gtyp_VGR.rotate_Axis.di_Increment,gtyp_VGR.rotate_Axis.i_PWM,gtyp_VGR.di_Pos_DSI_horizontal,gtyp_VGR.di_Pos_MPO_horizontal,gtyp_VGR.di_Pos_HBW_horizontal,gtyp_VGR.di_Pos_DSI_rotate,gtyp_VGR.di_Pos_MPO_rotate,QX_VGR_Compressor_Q7
,,,,,,,,,,,,,,,,,,,,,,,,696,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,694,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,696,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,1092,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,436,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,2643,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,696,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,694,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,2558,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,693,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,1744,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,696,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,695,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,1742,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,697,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,1745,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,435,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,3056,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,2575,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,FALSE
