IW7,QW0,IW0,MW0
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
8,65535,65535,19660
50,65535,65535,19660
126,65535,65535,19660
236,65535,65535,19660
380,65535,65535,19660
558,65535,65535,19660
770,65535,65535,19660
1017,65535,65535,19660
1298,65535,65535,19660
1613,65535,65535,19660
1958,65535,65535,19660
2338,65535,65535,19660
2747,65535,65535,19660
3188,65535,65535,19660
3656,65535,65535,19660
4142,65535,65535,19660
4655,65535,65535,19660
5191,65535,65535,19660
5760,65535,65535,19660
6357,65535,65535,19660
6980,65535,65535,19660
7620,65535,65535,19660
8283,65535,65535,19660
8963,65535,65535,19660
9661,65535,65535,19660
10373,65535,65535,19660
11098,65535,65535,19660
11837,65535,65535,19660
12590,65535,65535,19660
13344,65535,65535,19660
14073,65535,65535,19660
14803,65535,65535,19660
15534,65535,65535,19660
16294,65535,65535,19660
17067,65535,65535,19660
17840,65535,65535,19660
18610,65535,65535,19660
19373,65535,65535,19660
20128,63195,65535,19660
20876,57115,63195,19660
21611,47360,57115,19660
22332,34000,47360,19660
23038,17110,34000,19660
23723,0,17110,19660
24374,0,0,19660
24969,0,0,19660
25511,0,0,19660
26022,0,0,19660
26581,0,0,19660
27111,0,0,19660
27616,0,0,19660
27612,0,0,19660
27602,0,0,19660
27593,0,0,19660
27583,0,0,19660
27573,0,0,19660
27563,0,0,19660
27554,0,0,19660
27544,0,0,19660
27534,0,0,19660
27525,0,0,19660
27515,0,0,19660
27505,0,0,19660
27496,0,0,19660
27486,0,0,19660
27476,0,0,19660
27467,0,0,19660
27440,0,0,19660
27381,0,0,19660
27291,0,0,19660
27169,0,0,19660
27017,0,0,19660
26832,0,0,19660
26618,0,0,19660
26374,0,0,19660
26102,0,0,19660
25801,0,0,19660
25470,0,0,19660
25110,0,0,19660
24722,0,0,19660
24308,0,0,19660
23866,0,0,19660
23400,0,0,19660
22913,0,0,19660
22401,0,0,19660
21868,0,0,19660
21316,0,0,19660
20743,0,0,19660
20149,0,0,19660
19539,605,0,19660
18913,4340,605,19660
18271,11285,4340,19660
17618,21495,11285,19660
16954,35024,21494,19660
16285,51899,35024,19660
15612,65535,51899,19660
14933,65535,65535,19660
14249,65535,65535,19660
13559,65535,65535,19660
12869,65535,65535,19660
12173,65535,65535,19660
11476,65535,65535,19660
10783,65535,65535,19660
10093,65535,65535,19660
9406,65535,65535,19660
8727,65535,65535,19660
8055,65535,65535,19660
7390,65535,65535,19660
6738,65535,65535,19660
6101,65535,65535,19660
5475,65535,65535,19660
4866,65535,65535,19660
4277,65535,65535,19660
3708,65535,65535,19660
3159,65535,65535,19660
2631,65535,65535,19660
2127,65535,65535,19660
1648,65535,65535,19660
1198,65535,65535,19660
776,65535,65535,19660
384,65535,65535,19660
21,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
8,65535,65535,19660
55,65535,65535,19660
136,65535,65535,19660
250,65535,65535,19660
579,65535,65535,19660
795,65535,65535,19660
1045,65535,65535,19660
1330,65535,65535,19660
1649,65535,65535,19660
1997,65535,65535,19660
2376,65535,65535,19660
2790,65535,65535,19660
3234,65535,65535,19660
3704,65535,65535,19660
4204,65535,65535,19660
4731,65535,65535,19660
5278,65535,65535,19660
5840,65535,65535,19660
6426,65535,65535,19660
7030,65535,65535,19660
7673,65535,65535,19660
8335,65535,65535,19660
9019,65535,65535,19660
9715,65535,65535,19660
10431,65535,65535,19660
11159,65535,65535,19660
11902,65535,65535,19660
12654,65535,65535,19660
13415,65535,65535,19660
14181,65535,65535,19660
14950,65535,65535,19660
15691,65535,65535,19660
16422,65535,65535,19660
17150,65535,65535,19660
17876,65535,65535,19660
18643,65535,65535,19660
19404,65535,65535,19660
20157,63050,65535,19660
20903,56835,63050,19660
21637,46950,56835,19660
22356,33470,46950,19660
23056,16490,33470,19660
23734,0,16490,19660
24390,0,0,19660
25018,0,0,19660
25624,0,0,19660
26208,0,0,19660
26766,0,0,19660
27299,0,0,19660
27752,0,0,19660
27742,0,0,19660
27733,0,0,19660
27723,0,0,19660
27713,0,0,19660
27703,0,0,19660
27693,0,0,19660
27683,0,0,19660
27674,0,0,19660
27664,0,0,19660
27654,0,0,19660
27644,0,0,19660
27634,0,0,19660
27625,0,0,19660
27615,0,0,19660
27605,0,0,19660
27595,0,0,19660
27569,0,0,19660
27509,0,0,19660
27419,0,0,19660
27296,0,0,19660
27143,0,0,19660
26961,0,0,19660
26746,0,0,19660
26502,0,0,19660
26228,0,0,19660
25925,0,0,19660
25592,0,0,19660
25231,0,0,19660
24845,0,0,19660
24430,0,0,19660
23990,0,0,19660
23525,0,0,19660
23036,0,0,19660
22525,0,0,19660
21991,0,0,19660
21435,0,0,19660
20859,0,0,19660
20267,0,0,19660
19659,5,0,19660
