IW8,MW2,QW2,IW4
53024,55295,0,0
53094,55295,0,0
53164,55295,0,0
53234,55295,0,0
53304,55295,0,0
53374,55295,0,0
53444,55295,0,0
53514,55295,0,0
53585,55295,0,0
53655,55295,0,0
53725,55295,0,0
53795,55295,0,0
53865,55295,0,0
53936,55295,0,0
54006,55295,0,0
54076,55295,0,0
54147,55295,0,0
54217,55295,0,0
54287,55295,0,0
54358,55295,0,0
54428,55295,0,0
54498,55295,0,0
54569,55295,0,0
54639,55295,0,0
54709,55295,0,0
54779,55295,0,0
54850,55295,0,0
54920,55295,0,0
54990,55295,0,0
55060,55295,0,0
55130,55295,0,0
55200,55295,0,0
55270,55295,0,0
55340,55295,28800,0
55409,55295,65535,28800
55474,55295,65535,65535
55408,55295,65535,65535
55187,55295,0,65535
54966,55295,0,0
54758,55295,0,0
54828,55295,0,0
54898,55295,0,0
54968,55295,0,0
55038,55295,0,0
55108,55295,0,0
55178,55295,0,0
55248,55295,0,0
55317,55295,14080,0
55387,55295,65535,14080
55453,55295,65535,65535
55450,55295,65535,65535
55228,55295,22656,65535
55006,55295,0,22656
54793,55295,0,0
54767,55295,0,0
54836,55295,0,0
54906,55295,0,0
54975,55295,0,0
55044,55295,0,0
55113,55295,0,0
55182,55295,0,0
55250,55295,0,0
55319,55295,15360,0
55387,55295,65535,15359
55452,55295,65535,65535
55442,55295,65535,65535
55218,55295,16256,65535
54995,55295,0,16256
54783,55295,0,0
54782,55295,0,0
54850,55295,0,0
54918,55295,0,0
54986,55295,0,0
55053,55295,0,0
55121,55295,0,0
55188,55295,0,0
55251,55295,0,0
55305,55295,6400,0
55343,55295,37120,6400
55358,55295,65535,37120
55313,55295,65535,65535
55106,55295,0,65535
54777,55295,0,0
54463,55295,0,0
54427,55295,0,0
54390,55295,0,0
54353,55295,0,0
54316,55295,0,0
54279,55295,0,0
54242,55295,0,0
54206,55295,0,0
54169,55295,0,0
54132,55295,0,0
54096,55295,0,0
54059,55295,0,0
54022,55295,0,0
53986,55295,0,0
53949,55295,0,0
53913,55295,0,0
53877,55295,0,0
53840,55295,0,0
53804,55295,0,0
53768,55295,0,0
53731,55295,0,0
53695,55295,0,0
53659,55295,0,0
53623,55295,0,0
53587,55295,0,0
53551,55295,0,0
53515,55295,0,0
53479,55295,0,0
53443,55295,0,0
53407,55295,0,0
53372,55295,0,0
53336,55295,0,0
53301,55295,0,0
53265,55295,0,0
53230,55295,0,0
53195,55295,0,0
53160,55295,0,0
53125,55295,0,0
53090,55295,0,0
53055,55295,0,0
53020,55295,0,0
52985,55295,0,0
52951,55295,0,0
52916,55295,0,0
52883,55295,0,0
52856,55295,0,0
52840,55295,0,0
52840,55295,0,0
52862,55295,0,0
52910,55295,0,0
52980,55295,0,0
53050,55295,0,0
53120,55295,0,0
53190,55295,0,0
53261,55295,0,0
53331,55295,0,0
53401,55295,0,0
53471,55295,0,0
53541,55295,0,0
53611,55295,0,0
53682,55295,0,0
53752,55295,0,0
53822,55295,0,0
53892,55295,0,0
53962,55295,0,0
54033,55295,0,0
54103,55295,0,0
54173,55295,0,0
54244,55295,0,0
54314,55295,0,0
54384,55295,0,0
54454,55295,0,0
54525,55295,0,0
54595,55295,0,0
54665,55295,0,0
54735,55295,0,0
54806,55295,0,0
